,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count
0,Horror-Thriller,6912.168,Bloody Disgusting-Dark Age Cinema-Fuzz on the Lens Productions,2022-10-06,250000.0,5325078.0,138.0,7.281,290.0
1,Action-Fantasy-Science Fiction,4657.005,New Line Cinema-Flynn Picture Company-Seven Bucks Productions-DC Films,2022-10-19,200000000.0,140000000.0,125.0,7.0,710.0
2,Horror-Thriller-Mystery,2627.102,Screen Media Films-Black Hangar Studios-Orwo Studios (US),2022-09-15,20000000.0,2892594.0,88.0,5.786,395.0
7,Horror-Thriller,2166.823,Miramax-Universal Pictures-Blumhouse Productions-Trancas International Films-Rough House Pictures,2022-10-12,20000000.0,63000000.0,111.0,6.645,787.0
10,Family-Animation-Fantasy-Music-Comedy-Adventure,2000.19,Walt Disney Pictures-Pixar,2017-10-27,175000000.0,800526015.0,105.0,8.227,16330.0
13,Action-Comedy-Thriller,1832.823,Columbia Pictures-87North Productions,2022-07-03,90000000.0,238472534.0,127.0,7.523,2100.0
14,War-History-Action-Drama,1829.747,Bona Film Group,2022-02-01,200000000.0,626203271.0,149.0,6.348,23.0
15,Drama-Thriller-Horror,1791.757,Eurimages-TVE-Backup Media-Morena Films-Ecam-Movistar+-Indéfilms-Creative Europe Media Programme Of The European Union-Cerdita AIE,2022-10-07,2400000.0,46000.0,100.0,6.82,142.0
19,Fantasy-Action-Comedy,1589.701,Marvel Studios-Kevin Feige Productions,2022-07-06,250000000.0,760000000.0,119.0,6.727,4446.0
24,Horror-Mystery-Thriller,1262.649,Regency Enterprises-Vertigo Entertainment-BoulderLight Pictures-20th Century Studios,2022-09-08,10500000.0,42300000.0,103.0,7.067,395.0
25,Thriller-Mystery-Drama,1233.724,New Line Cinema-Warner Bros. Pictures-Vertigo Entertainment,2022-09-21,35000000.0,78000000.0,123.0,6.914,655.0
32,Action-Adventure-Family-Comedy,980.324,Paramount-Original Film-Blur Studio-Marza Animation Planet,2022-03-30,110000000.0,401800000.0,122.0,7.652,3240.0
33,Adventure-Action-Science Fiction,979.205,Universal Pictures-Amblin Entertainment,2022-06-01,165000000.0,1001000000.0,147.0,7.0,3728.0
38,Animation-Family,916.837,Universal Pictures-Illumination,2022-06-29,85000000.0,924000000.0,87.0,7.5,2251.0
40,Fantasy-Action-Adventure,867.892,Marvel Studios-Kevin Feige Productions,2022-05-04,200000001.0,955800000.0,126.0,7.451,6184.0
41,Action-Drama,843.277,Lyca Productions-DVV Entertainment-Pen Studios,2022-03-24,69000000.0,160000000.0,182.0,7.8,481.0
42,Animation-Action-Family-Comedy-Science Fiction,831.282,Warner Bros. Pictures-Animal Logic-DC Entertainment-Warner Animation Group-Seven Bucks Productions,2022-07-27,90000000.0,193000000.0,105.0,7.477,882.0
43,Action-Drama,827.169,Paramount-Don Simpson/Jerry Bruckheimer Films-Skydance Media,2022-05-24,170000000.0,1482656000.0,131.0,8.35,4460.0
44,Action-Adventure-Science Fiction,821.963,Columbia Pictures-Marvel Studios-Pascal Pictures,2021-12-15,200000000.0,1916050911.0,148.0,8.03,15627.0
47,Horror-Mystery-Thriller,782.948,Paramount-Temple Hill Entertainment-Paramount Players,2022-09-23,17000000.0,166000000.0,115.0,6.745,312.0
48,Horror-Thriller,765.868,Universal Pictures-Blumhouse Productions-Crooked Highway,2022-06-22,17000000.0,161000000.0,103.0,7.874,2940.0
59,Crime-Mystery-Thriller,639.32,Warner Bros. Pictures-6th & Idaho-Dylan Clark Productions-DC Films,2022-03-01,185000000.0,770836163.0,177.0,7.716,6617.0
60,Romance-Fantasy-Animation,631.367,Warner Bros. Pictures-Tim Burton Animation Company-Will Vinton Studios-Tim Burton Productions-Laika Entertainment-Patalex Productions,2005-09-12,40000000.0,118133252.0,77.0,7.498,7538.0
63,Animation-Action-Adventure-Family-Science Fiction,622.187,Walt Disney Pictures-Pixar,2022-06-15,200000000.0,226400000.0,105.0,7.208,2290.0
71,Fantasy-Animation-Family,596.23,Walt Disney Pictures-Tim Burton Productions-Skellington Productions Inc.-Touchstone Pictures,1993-10-09,24000000.0,75634409.0,76.0,7.841,7808.0
74,Action-Adventure-Fantasy-Science Fiction,572.479,20th Century Fox-Ingenious Media-Dune Entertainment-Lightstorm Entertainment,2009-12-15,237000000.0,2920357254.0,162.0,7.5,26429.0
75,Animation-Family-Comedy-Fantasy,571.464,Walt Disney Pictures-Pixar,2022-03-01,190000000.0,18879922.0,100.0,7.525,3471.0
77,Romance-Drama,562.694,Voltage Pictures-Vertical Entertainment-CalMaple Films-Wattpad-Ethea Entertainment,2021-09-01,14000000.0,21500000.0,99.0,7.142,1945.0
79,Horror-Fantasy,552.049,New Line Cinema-Vertigo Entertainment-Rideback-Double Dream,2019-09-04,79000000.0,473122525.0,170.0,6.877,7291.0
80,Animation-Action-Adventure-Fantasy,548.325,Aniplex-Shueisha-ufotable-STUDIO MAUSU,2020-10-16,15800000.0,503063688.0,117.0,8.328,2758.0
81,Action-Adventure-Comedy,548.011,Paramount-Fortis Films-Exhibit A Film-3dot Productions,2022-03-24,74000000.0,190800000.0,112.0,6.775,2078.0
82,Family-Comedy-Animation-Action,539.005,Brooksfilms Ltd.-Nickelodeon Movies-Mass Animation-Cinesite Animation-HB Wink Animation-Aniventure-Align-GFM Animation-Flying Tigers Entertainment-Blazing Productions,2022-07-14,45000000.0,24316785.0,98.0,6.763,167.0
83,Animation-Comedy-Family-Fantasy,535.684,Walt Disney Pictures-Walt Disney Animation Studios,2021-10-13,50000000.0,253000000.0,102.0,7.665,7511.0
85,Romance-Drama,526.794,Offspring Entertainment-Voltage Pictures-Diamond Film Productions-CalMaple Films-Wattpad-Frayed Pages Entertainment,2019-04-11,14000000.0,69497587.0,106.0,7.165,7309.0
91,Animation-Comedy-Family-Crime,485.953,Universal Pictures-DreamWorks Animation,2022-03-17,80000000.0,245000000.0,100.0,7.738,1099.0
101,Horror-Mystery-Science Fiction-Thriller,448.436,Universal Pictures-dentsu-Monkeypaw Productions,2022-07-20,68000000.0,170823080.0,130.0,6.999,1883.0
102,Fantasy-Adventure-Action,446.741,Warner Bros. Pictures-Heyday Films,2022-04-06,200000000.0,405161334.0,142.0,6.838,2901.0
105,Horror-Thriller,436.77,Miramax-Universal Pictures-Blumhouse Productions-Trancas International Films-Rough House Pictures-Home Again Productions,2021-10-14,20000000.0,131647155.0,105.0,6.617,2035.0
109,Science Fiction-Action-Adventure,427.78,Columbia Pictures-Marvel Entertainment-Matt Tolmach Productions-Pascal Pictures-Avi Arad Productions,2021-09-30,110000000.0,506863592.0,97.0,6.9,8157.0
114,Animation-Family-Fantasy,410.378,Pandemonium-Focus Features-Laika Entertainment,2009-02-05,60000000.0,124600000.0,100.0,7.806,6133.0
117,Action-Adventure-Fantasy,404.667,New Regency Pictures-Focus Features-Perfect World Pictures-Square Peg,2022-04-07,70000000.0,69633110.0,137.0,7.186,2544.0
120,Action-Science Fiction-Fantasy,401.97,Columbia Pictures-Matt Tolmach Productions-Avi Arad Productions,2022-03-30,75000000.0,161000000.0,105.0,6.32,2820.0
122,Action-Adventure,397.982,Columbia Pictures-Atlas Entertainment-Arad Productions-PlayStation Productions,2022-02-10,120000000.0,401748820.0,116.0,7.094,3794.0
124,Science Fiction,396.632,Centropolis Entertainment-Summit Entertainment-Lionsgate-Huayi Brothers Pictures-Huayi Tencent Entertainment Company-AGC Studios-Street Entertainment-UK Moonfall LLP,2022-02-03,146000000.0,59100000.0,130.0,6.4,1964.0
125,Adventure-Action-Science Fiction,394.559,Marvel Studios,2018-04-25,300000000.0,2046239637.0,149.0,8.266,25636.0
126,Horror-Mystery-Thriller,387.76,Paramount-Radio Silence-Project X Entertainment-Spyglass Media Group,2022-01-12,24000000.0,140041405.0,114.0,6.739,1806.0
129,Horror-Mystery-Thriller,384.546,New Line Cinema-The Safran Company-Atomic Monster,2021-05-25,39000000.0,201000000.0,111.0,7.584,4694.0
132,Animation-Comedy-Adventure-Family,378.114,Universal Pictures-DreamWorks Animation,2021-07-01,82000000.0,146745280.0,107.0,7.511,2093.0
133,Drama-Romance,377.998,Metro-Goldwyn-Mayer-Working Title Films-Bron Studios,2021-12-17,20000000.0,3000000.0,124.0,6.5,168.0
140,Horror-Mystery-Thriller,357.405,A24-Little Lamb Productions,2022-03-17,10000000.0,14257609.0,106.0,6.773,1152.0
141,Adventure-Fantasy,357.194,Warner Bros. Pictures-1492 Pictures-Heyday Films,2002-11-13,100000000.0,876688482.0,161.0,7.728,18862.0
142,Comedy,351.27,Gold/Miller Productions-Wayans Bros. Entertainment-Dimension Films-Brad Grey Pictures,2000-07-07,19000000.0,278019771.0,88.0,6.314,5793.0
